0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
143,554,837,1433,1761,1937,2173,2643,2904,3039,3262,3603,3884,4214,4683,5005,5256,5572.0,5844.0,6055.0,,,,,,,,,,,,,,,,,,,,,,,
160,475,602,960,1185,1457,1682,1884,2062,2210,2535,2663,3350,3740,3998,4277,4436,4801.0,5118.0,5460.0,,,,,,,,,,,,,,,,,,,,,,,
195,506,885,1348,1557,1737,2024,2370,2523,2700,3710,3890,4240,4780,5185,5507,5780,5910.0,,,,,,,,,,,,,,,,,,,,,,,,,
116,364,835,1312,1473,1829,2139,2630,3115,3280,3573,3725,4046,4385,4557,4797,4963,5666.0,5890.0,5990.0,6599.0,,,,,,,,,,,,,,,,,,,,,,
185,635,875,980,1098,1211,1580,2020,2183,2979,3642,3934,4260,4585,4740,5380,5722,5888.0,5990.0,6041.0,6290.0,7033.0,7325.0,7589.0,8307.0,,,,,,,,,,,,,,,,,,
150,412,531,700,967,1135,1375,1443,1668,1860,2228,2296,2789,3324,3694,3897,4230,4702.0,5306.0,5749.0,5870.0,6266.0,6328.0,,,,,,,,,,,,,,,,,,,,
210,465,623,953,1035,1212,1380,1964,2090,2156,2275,2675,3029,3200,3405,4150,4324,4505.0,4777.0,5162.0,5625.0,6035.0,6379.0,6487.0,6730.0,6977.0,7140.0,7540.0,,,,,,,,,,,,,,,
175,428,603,812,1135,1368,1620,1690,1860,2034,2253,2285,2565,2705,3234,3825,3970,4185.0,4240.0,4570.0,4736.0,5048.0,5227.0,5316.0,,,,,,,,,,,,,,,,,,,
175,482,602,827,1016,1545,2085,2180,2463,3043,3603,3755,4244,4404,4595,5080,5613,5787.0,6320.0,6544.0,,,,,,,,,,,,,,,,,,,,,,,
135,409,705,824,1056,1704,1947,2158,2505,2770,3025,3476,3928,4440,4703,5100,5965,6376.0,6590.0,7182.0,7350.0,7800.0,,,,,,,,,,,,,,,,,,,,,
250,513,820,1111,1510,1940,2250,2320,2516,2785,3265,3420,3555,3875,3982,4210,5053,5112.0,5253.0,5605.0,5955.0,6204.0,6400.0,6840.0,7332.0,7535.0,7616.0,,,,,,,,,,,,,,,,
110,273,551,740,1070,1282,1510,1810,2095,2550,2750,3148,3375,3595,3780,3944,4055,4256.0,4560.0,4730.0,,,,,,,,,,,,,,,,,,,,,,,
312,565,800,966,1273,1380,1500,1902,2080,2238,2350,2558,2618,2678,3004,3063,3218,3390.0,3654.0,3780.0,4060.0,4318.0,,,,,,,,,,,,,,,,,,,,,
147,344,705,982,1219,1525,1775,2215,2815,3005,3235,3375,3553,3900,4080,4360,4470,4812.0,5047.0,,,,,,,,,,,,,,,,,,,,,,,,
180,461,680,1028,1266,1680,1833,2060,2096,2348,2520,2620,2805,3183,3304,4023,4253,4356.0,5350.0,5530.0,5820.0,6125.0,6369.0,6562.0,6820.0,,,,,,,,,,,,,,,,,,
137,375,870,1135,1215,1820,2028,2313,2536,2695,2937,3238,3363,3665,3905,4039,4097,4688.0,4971.0,5415.0,5504.0,5620.0,5870.0,5973.0,6068.0,6168.0,6215.0,6644.0,6735.0,6850.0,6925.0,7148.0,7527.0,7768.0,7852.0,,,,,,,,
128,259,504,562,780,1235,1335,1706,1790,1942,2188,2479,2963,3325,3590,3974,4036,4331.0,4405.0,4695.0,4937.0,5442.0,5765.0,,,,,,,,,,,,,,,,,,,,
362,582,680,830,1188,1533,1785,1886,2193,2385,2495,2738,3155,3340,3570,3788,4093,4400.0,4957.0,5260.0,5355.0,5520.0,5920.0,6110.0,6200.0,6329.0,6435.0,6552.0,6795.0,7130.0,7302.0,7602.0,7700.0,7763.0,7872.0,,,,,,,,
120,405,645,715,885,1005,1140,1330,1603,1665,1910,2280,2485,2735,3000,3060,3180,3500.0,3675.0,3880.0,4300.0,4365.0,4655.0,4795.0,5040.0,5118.0,5215.0,5470.0,5658.0,5870.0,5984.0,6222.0,6524.0,,,,,,,,,,
288,550,598,930,1094,1323,1503,1680,1830,2218,2406,2806,2994,3406,3600,4070,4528,4785.0,4940.0,5060.0,5175.0,5277.0,5325.0,5875.0,6460.0,6789.0,6830.0,6936.0,7010.0,7110.0,7305.0,7520.0,7620.0,7700.0,7802.0,7940.0,,,,,,,
130,400,849,1196,1430,1680,2250,2650,2880,3536,3876,4330,4554,5160,5895,7005,7420,8315.0,8865.0,9863.0,,,,,,,,,,,,,,,,,,,,,,,
207,476,780,897,1005,1105,1200,1450,1600,1977,2230,2820,2958,3120,3395,3886,4020,4250.0,4616.0,4970.0,5410.0,5620.0,5700.0,5850.0,6075.0,6485.0,6654.0,6705.0,6979.0,7144.0,7283.0,7515.0,7754.0,8070.0,,,,,,,,,
535,1324,1589,1740,2024,2255,2384,2520,2777,3030,3330,3598,3868,3973,4184,4376,4708,5046.0,5310.0,5603.0,5739.0,6035.0,6203.0,6474.0,6785.0,7080.0,7468.0,7545.0,7855.0,,,,,,,,,,,,,,
146,390,551,660,915,1040,1228,1350,1445,1760,1952,2380,2535,3095,3424,3632,4280,4397.0,4850.0,5024.0,,,,,,,,,,,,,,,,,,,,,,,
430,675,1120,1302,1618,1910,2220,2373,2510,2810,3050,3170,3385,3560,3770,3925,4304,4830.0,5588.0,6420.0,6890.0,,,,,,,,,,,,,,,,,,,,,,
145,420,956,1100,1440,1750,1847,2138,2435,3005,3325,4060,4305,4557,4694,4810,5440,6020.0,6685.0,6810.0,7090.0,,,,,,,,,,,,,,,,,,,,,,
110,432,724,1093,1336,1691,2025,2427,2722,2890,3124,3488,3660,3880,4344,4647,5300,5400.0,5873.0,6242.0,6563.0,6700.0,6940.0,7180.0,7284.0,7600.0,7720.0,,,,,,,,,,,,,,,,
120,360,620,975,1440,1940,2388,2568,2960,4074,4470,4574,4840,4880,5100,5760,6854,7090.0,8100.0,8364.0,8903.0,9275.0,10050.0,10750.0,,,,,,,,,,,,,,,,,,,
85,210,502,705,1070,1260,1748,1854,2042,2450,2567,2898,3110,3420,3538,3740,3853,4275.0,4390.0,4550.0,4710.0,4905.0,5305.0,5440.0,5820.0,5933.0,6110.0,6300.0,6360.0,,,,,,,,,,,,,,
455,1606,1941,2215,2448,2670,2857,2975,3749,4293,4617,4909,4942,5409,5712,5951,6020,6761.0,7187.0,7538.0,8044.0,8232.0,8433.0,9094.0,9202.0,9771.0,10554.0,,,,,,,,,,,,,,,,
248,530,727,1020,1363,1610,1680,1848,1950,2070,2250,2910,3127,3834,4200,4659,5040,5475.0,5609.0,5940.0,6267.0,6900.0,7150.0,,,,,,,,,,,,,,,,,,,,
140,550,833,1316,1428,1680,1980,2130,2634,3060,3351,3805,4375,4690,4963,5440,5700,6035.0,6195.0,6535.0,6715.0,6985.0,7118.0,,,,,,,,,,,,,,,,,,,,
461,739,818,1221,1367,1621,1943,2350,2518,2830,3252,3514,3652,3964,4103,4190,4455,4560.0,4770.0,5196.0,5741.0,5929.0,6363.0,6852.0,7035.0,,,,,,,,,,,,,,,,,,
362,550,740,834,1048,1276,1480,1600,1736,2040,2150,2305,2625,2910,3020,3213,3280,3455.0,3588.0,3780.0,3872.0,4125.0,4428.0,4505.0,4770.0,4940.0,5105.0,5235.0,5405.0,5548.0,5615.0,5940.0,5984.0,6183.0,6400.0,6559.0,6630.0,6780.0,,,,,
291,444,635,870,1020,1175,1445,1550,1680,1920,2100,2520,2930,3140,3266,3561,3775,3872.0,3965.0,4128.0,4413.0,4580.0,4720.0,5088.0,5277.0,5387.0,5580.0,6260.0,,,,,,,,,,,,,,,
345,589,688,776,878,1080,1140,1246,1370,1639,1690,1810,1896,2140,2235,2333,2510,2920.0,3091.0,3420.0,3660.0,3740.0,4020.0,4259.0,4520.0,4810.0,5005.0,5145.0,5390.0,5460.0,5530.0,5685.0,5870.0,6095.0,6260.0,6360.0,6480.0,6790.0,6960.0,7077.0,,,
658,765,982,1058,1200,1409,1571,1650,1780,1847,2019,2218,2338,2722,2891,3047,3265,3403.0,3503.0,3609.0,3695.0,3831.0,4090.0,4168.0,4286.0,4560.0,4843.0,5193.0,5563.0,5686.0,5797.0,5922.0,6068.0,6300.0,6612.0,6720.0,6954.0,7045.0,7138.0,,,,
360,524,660,818,1160,1388,1500,1648,1945,2085,2484,2695,2850,3025,3146,3375,3483,3497.0,3600.0,3715.0,3840.0,3900.0,4160.0,4410.0,4590.0,4695.0,4964.0,5165.0,5330.0,5670.0,5722.0,6030.0,6088.0,6180.0,6275.0,6480.0,,,,,,,
388,520,765,968,1130,1260,1410,1500,1526,1630,1710,2040,2366,2580,2680,2770,2910,3228.0,3419.0,3885.0,4030.0,4266.0,4604.0,4752.0,4922.0,5310.0,5630.0,5734.0,5878.0,5940.0,6219.0,6380.0,,,,,,,,,,,
308,400,511,600,728,822,990,1355,1529,1602,1802,1898,1980,2235,2315,2455,2625,2793.0,3044.0,3200.0,3563.0,3725.0,3989.0,4184.0,4320.0,4460.0,4620.0,4715.0,,,,,,,,,,,,,,,
341,514,716,789,875,948,1074,1128,1188,1292,1640,1804,2100,2175,2340,2700,3311,3422.0,3765.0,3800.0,3943.0,4140.0,4440.0,4500.0,4685.0,5150.0,5330.0,5393.0,5820.0,5940.0,5987.0,6131.0,,,,,,,,,,,
